aazyear,paper,affiliations
2018,Soft-Gated Warping-GAN for Pose-Guided Person Image Synthesis,Sun Yat-sen University
2018,Learning towards Minimum Hyperspherical Energy,"University of Cambridge, MPI Tübingen"
2018,Neural Code Comprehension: A Learnable Representation of Code Semantics,ETH Zurich
2018,Amortized Inference Regularization,Stanford University
2018,Structure-Aware Convolutional Neural Networks,"Researcher, Huawei Cloud; before at NLPR, CASIA"
2018,Gradient Descent for Spiking Neural Networks,
2018,Uplift Modeling from Separate Labels,Université Paris Dauphine - PSL/RIKEN
2018,Heterogeneous Bitwidth Binarization in Convolutional Neural Networks,Head of Machine Learning at OctoML
2018,BRUNO: A Deep Recurrent Model for Exchangeable Data,Ghent University
2018,Gaussian Process Prior Variational Autoencoders,insitro
2018,Variational Inference with Tail-adaptive f-Divergence,Facebook
2018,Modelling and unsupervised learning of symmetric deformable object categories,Unitary Ltd
2018,Information-theoretic Limits for Community Detection in Network Models,Purdue University
2018,Dendritic cortical microcircuits approximate the backpropagation algorithm,"Institute of Neuroinformatics, ETH Zürich, Switzerland"
2018,Unsupervised Cross-Modal Alignment of Speech and Text Embedding Spaces,Massachusetts Institute of Technology
2018,Unsupervised Learning of Object Landmarks through Conditional Image Generation,"PhD Student, VGG, University of Oxford"
2018,Scalable Coordinated Exploration in Concurrent Reinforcement Learning,"Senior Research Scientist, Netflix - Stanford University"
2018,Learning to Reconstruct Shapes from Unseen Classes,Ph.D. Candidate at MIT CSAIL
2018,Out-of-Distribution Detection using Multiple Semantic Label Representations,"PhD Candidate, Bar-Ilan University"
2018,Factored Bandits,University of Copenhagen
2018,Poison Frogs! Targeted Clean-Label Poisoning Attacks on Neural Networks,"Graduate Research Assistant, University of Maryland"
2018,Implicit Probabilistic Integrators for ODEs,University of Kent
2018,Distilled Wasserstein Learning for Word Embedding and Topic Modeling,"Associate Professor (Tenure-Track), Renmin University of China"
2018,Generating Informative and Diverse Conversational Responses via Adversarial Information Maximization,Research Scientist @ Facebook AI
2018,Multi-Agent Generative Adversarial Imitation Learning,Stanford University
2018,Discovery of Latent 3D Keypoints via End-to-end Geometric Reasoning,VISTEC
2018,Variational Learning on Aggregate Outputs with Gaussian Processes,"DPhil in Statistics, University Of Oxford"
2018,Mapping Images to Scene Graphs with Permutation-Invariant Structured Prediction,Tel Aviv University
2018,Meta-Gradient Reinforcement Learning,Sea AI Lab
2018,GPyTorch: Blackbox Matrix-Matrix Gaussian Process Inference with GPU Acceleration,University of Pennsylvania
2018,Bayesian multi-domain learning for cancer subtype discovery from next-generation sequencing count data,"AI Research Scientist, AstraZeneca"
2018,Sanity Checks for Saliency Maps,MIT
2018,Differentially Private Uniformly Most Powerful Tests for Binomial Data,"Assistant Professor, Purdue University"
2018,Semidefinite relaxations for certifying robustness to adversarial examples,"PhD Student, Stanford University"
2018,Multitask Boosting for Survival Analysis with Competing Risks,University of Cambridge
2018,Deep Dynamical Modeling and Control of Unsteady Fluid Flows,Stanford University
2018,Disconnected Manifold Learning for Generative Adversarial Networks,"PhD candidate, Rutgers University"
2018,Automating Bayesian optimization with Bayesian optimization,Intel
2018,Leveraged volume sampling for linear regression,Assistant Professor at University of Michigan
2018,Pipe-SGD: A Decentralized Pipelined SGD Framework for Distributed Deep Net Training,A Tiny Ph.D. Student @ UIUC ECE
2018,Wasserstein Variational Inference,Donder's institute of Cognition
2018,Bayesian Control of Large MDPs with Unknown Dynamics in Data-Poor Environments,"Assistant Professor of Electrical and Computer Engineering, Northeastern University"
2018,A Likelihood-Free Inference Framework for Population Genetic Data using Exchangeable Neural Networks,"School of Computing Technologies, RMIT University"
2018,The Price of Privacy for Low-rank Factorization,"Researcher, Apple"
2018,Inferring Networks From Random Walk-Based Node Similarities,University of Chicago
2018,Extracting Relationships by Multi-Domain Matching,Apple Inc
2018,Modular Networks: Learning to Decompose Neural Computation,The Swiss AI Lab IDSIA
2018,The Convergence of Sparsified Gradient Methods,IST Austria
2018,Chain of Reasoning for Visual Question Answering,Microsoft Research Asia
2018,Differentially Private k-Means with Constant Multiplicative Error,Tel Aviv University
2018,Contamination Attacks and Mitigation in Multi-Party Machine Learning,University College London
2018,Training Deep Neural Networks with 8-bit Floating Point Numbers,IBM TJ Watson Research Center (nwang@us.ibm.com)
2018,ATOMO: Communication-efficient Learning via Atomic Sparsification,Carnegie Mellon University
2018,Depth-Limited Solving for Imperfect-Information Games,"Research Scientist, Facebook AI Research"
2018,Adversarial Risk and Robustness: General Definitions and Implications for the Uniform Distribution,"University of Oklahoma, School of Computer Science"
2018,Efficient Anomaly Detection via Matrix Sketching,Stanford University
2018,Playing hard exploration games by watching YouTube,"Research Scientist, DeepMind"
2018,Navigating with Graph Representations for Fast and Scalable Decoding of Neural Language Models,Microsoft Research
2018,Coordinate Descent with Bandit Sampling,Ph. D. Student at EPFL
2018,PAC-Bayes bounds for stable algorithms with instance-dependent priors,University College London
2018,Rest-Katyusha: Exploiting the Solution's Structure via Scheduled Restart Schemes,University of Cambridge
2018,Automatic Program Synthesis of Long Programs with a Learned Garbage Collector,Tel Aviv University
2018,Quantifying Learning Guarantees for Convex but Inconsistent Surrogates,"НИУ-ВШЭ, Факультет компьютерных наук, Департамент больших данных и …"
2018,Unsupervised Text Style Transfer using Language Models as Discriminators,Carnegie Mellon University
2018,Domain Adaptation by Using Causal Inference to Predict Invariant Conditional Distributions,"University of Amsterdam, MIT-IBM Watson AI Lab"
2018,Confounding-Robust Policy Improvement,Cornell University
2018,Mesh-TensorFlow: Deep Learning for Supercomputers,Google Inc.
2018,Privacy Amplification by Subsampling: Tight Analyses via Couplings and Divergences,DeepMind
2018,The Description Length of Deep Learning models,"Facebook AI Research, Université Paris Saclay, Inria"
2018,Semi-crowdsourced Clustering with Deep Generative Models,Max Planck Institute for Intelligent Systems
2018,Scalable Laplacian K-modes,"Thales, CortAix"
2018,Non-Adversarial Mapping with VAEs,The Hebrew University of Jerusalem
2018,Deep Reinforcement Learning in a Handful of Trials using Probabilistic Dynamics Models,Princeton University
2018,The challenge of realistic music generation: modelling raw audio at scale,"Research Scientist, DeepMind"
2018,Towards Robust Interpretability with Self-Explaining Neural Networks,"Senior Researcher, Microsoft Research"
2018,Predictive Uncertainty Estimation via Prior Networks,"Senior Research Scientist, Yandex Research"
2018,An Off-policy Policy Gradient Theorem Using Emphatic Weightings,University of Alberta
2018,Multiple-Step Greedy Policies in Approximate and Online Reinforcement Learning,"Microsoft Research, New York"
2018,Scaling the Poisson GLM to massive neural datasets through polynomial approximations,Princeton University
2018,Hybrid Macro/Micro Level Backpropagation for Training Deep Spiking Neural Networks,Facebook (previous: Texas A&M)
2018,Global Non-convex Optimization with Discretized Diffusions,Stanford University
2018,Invariant Representations without Adversarial Training,MIT CSAIL
2018,Inference in Deep Gaussian Processes using Stochastic Gradient Hamiltonian Monte Carlo,University of Cambridge
2018,Fully Neural Network Based Speech Recognition on Mobile and Embedded Devices,Samsung Research
2018,Collaborative Learning for Deep Neural Networks,
2018,Multi-Task Learning as Multi-Objective Optimization,Intel Labs
2018,Neural Voice Cloning with a Few Samples,Google
2018,Low-Rank Tucker Decomposition of Large Tensors Using TensorSketch,"Alvarez Postdoctoral Fellow, Lawrence Berkeley National Laboratory"
2018,A Probabilistic U-Net for Segmentation of Ambiguous Images,DeepMind
2018,Bandit Learning in Concave N-Person Games,"Faculty of Engineering and Sciences, Universidad Adolfo Ibáñez"
2018,Lipschitz-Margin Training: Scalable Certification of Perturbation Invariance for Deep Neural Networks,"Preferred Networks, Inc."
2018,3D Steerable CNNs: Learning Rotationally Equivariant Features in Volumetric Data,University of Amsterdam
2018,Toddler-Inspired Visual Object Learning,Data Science & Machine Learning at Nationwide Children's Hospital
2018,Reducing Network Agnostophobia,University of Colorado Colorado Springs
2018,Deep Functional Dictionaries: Learning Consistent Semantic Structures on 3D Models from Functions,KAIST
2018,Learning to Decompose and Disentangle Representations for Video Prediction,Carnegie Mellon University
2018,Weakly Supervised Dense Event Captioning in Videos,Tsinghua
2018,e-SNLI: Natural Language Inference with Natural Language Explanations,"Postdoctoral researcher in Computer Science, University of Oxford"
2018,Gamma-Poisson Dynamic Matrix Factorization Embedded with Metadata Influence,University of Technology Sydney
2018,A Block Coordinate Ascent Algorithm for Mean-Variance Optimization,University of Illinois at Urbana-Champaign
2018,Efficient High Dimensional Bayesian Optimization with Additivity and Quadrature Fourier Features,PhD student at ETH Zurich
2018,Unsupervised Learning of Shape and Pose with Differentiable Point Clouds,University of Oxford
2018,Learning Concave Conditional Likelihood Models for Improved Analysis of Tandem Mass Spectra,UC Davis
2018,Approximate Knowledge Compilation by Online Collapsed Importance Sampling,"PhD Student, UCLA"
2018,Layer-Wise Coordination between Encoder and Decoder for Neural Machine Translation,Alibaba Group
2018,A Lyapunov-based Approach to Safe Reinforcement Learning,"Research Scientist, Google Research"
2018,Deep Poisson gamma dynamical systems,
2018,Generalizing Graph Matching beyond Quadratic Assignment Model,The Chinese University of Hong Kong (Shenzhen)
2018,Regularizing by the Variance of the Activations' Sample-Variances,Research Scientist at Apple
2018,Single-Agent Policy Tree Search With Guarantees,Research Scientist at Google DeepMind
2018,Bias and Generalization in Deep Generative Models: An Empirical Study,Stanford University
2018,Joint Autoregressive and Hierarchical Priors for Learned Image Compression,Google
2018,A flexible model for training action localization with varying levels of supervision,INRIA
2018,A probabilistic population code based on neural samples,"Student, University of Rochester"
2018,Generative Probabilistic Novelty Detection with Adversarial Autoencoders,Ph.D. student
2018,Learning Overparameterized Neural Networks via Stochastic Gradient Descent on Structured Data,Assistant Professor at CMU
2018,Informative Features for Model Comparison,Google Research
2018,Reinforcement Learning of Theorem Proving,University of Innsbruck
2018,On Fast Leverage Score Sampling and Optimal Learning,INRIA - École Normale Supérieure
2018,Robustness of conditional GANs to noisy labels,University of Illinois at Urbana-Champaign
2018,Removing Hidden Confounding by Experimental Grounding,Cornell University
2018,Legendre Decomposition for Tensors,"Associate Professor, National Institute of Informatics"
2018,Bilevel learning of the Group Lasso structure,Istituto Italiano di Tecnologia
2018,SING: Symbol-to-Instrument Neural Generator,Facebook
2018,LinkNet: Relational Embedding for Scene Graph,KAIST
2018,Meta-Learning MCMC Proposals,"Massachusetts Institute of Technology; University of California, Berkeley; Facebook AI …"
2018,Bayesian Pose Graph Optimization via Bingham Distributions and Tempered Geodesic MCMC,Stanford University
2018,Uniform Convergence of Gradients for Non-Convex Learning and Optimization,Microsoft Research
2018,Multi-Agent Reinforcement Learning via Double Averaging Primal-Dual Optimization,"Assistant Professor, The Chinese University of Hong Kong"
2018,Neural Tangent Kernel: Convergence and Generalization in Neural Networks,"PhD student, EPFL"
2018,Randomized Prior Functions for Deep Reinforcement Learning,DeepMind
2018,On the Convergence and Robustness of Training GANs with Regularized Optimal Transport,Facebook AI
2018,Uncertainty Sampling is Preconditioned Stochastic Gradient Descent on Zero-One Loss,"Computer Science Postdoc, University of Washington"
2018,Negotiable Reinforcement Learning for Pareto Optimal Sequential Decision-Making,Tesla
2018,Distributed Stochastic Optimization via Adaptive SGD,Boston University
2018,Smoothed Analysis of Discrete Tensor Decomposition and Assemblies of Neurons,Stanford University
2018,Deep State Space Models for Time Series Forecasting,Amazon
2018,Neural-Symbolic VQA: Disentangling Reasoning from Vision and Language Understanding,Harvard University
2018,Deep Anomaly Detection Using Geometric Transformations,"M.Sc. Student, Technion -- Israel Institute of Technology"
2018,On Oracle-Efficient PAC RL with Rich Observations,"Research Scientist, Google"
2018,Joint Sub-bands Learning with Clique Structures for Wavelet Domain Super-Resolution,The Chinese University of Hong Kong
2018,Non-delusional Q-learning and value-iteration,"Research Scientist, Google"
2018,An intriguing failing of convolutional neural networks and the CoordConv solution,ML Collective; Google Brain
2018,Adversarially Robust Optimization with Gaussian Processes,"Postdoctoral researcher, ETH Zurich"
2018,Neural Proximal Gradient Descent for Compressive Imaging,"Research Scientist, Stanford University"
2018,Stochastic Nonparametric Event-Tensor Decomposition,"School of Computing, University of Utah"
2018,Assessing the Scalability of Biologically-Motivated Deep Learning Algorithms and Architectures,DeepMind
2018,Learn What Not to Learn: Action Elimination with Deep Reinforcement Learning,"Senior Research Scientist, DeepMind"
2018,Connecting Optimization and Regularization Paths,Carnegie Mellon University
2018,MetaReg: Towards Domain Generalization using Meta-Regularization,"PhD student at University of Maryland, College Park"
2018,Multivariate Convolutional Sparse Coding for Electromagnetic Brain Signals,UC Berkeley
2018,Complex Gated Recurrent Neural Networks,University of Bonn - Fraunhofer Center for Machine Learning and SCAI
2018,Scalable End-to-End Autonomous Vehicle Testing via Rare-event Simulation,"PhD, University of Pennsylvania"
2018,Learning Loop Invariants for Program Verification,McGill University & Mila
2018,Learning Others' Intentional Models in Multi-Agent Settings Using Interactive POMDPs,University of Illinois at Chicago
2018,Online Structure Learning for Feed-Forward and Recurrent Sum-Product Networks,Akasha Imaging
2018,Balanced Policy Evaluation and Learning,Cornell University
2018,TADAM: Task dependent adaptive metric for improved few-shot learning,Research Scientist at Unity
2018,A Bayes-Sard Cubature Method,"Postdoctoral Researcher, University of Helsinki"
2018,Learning to Infer Graphics Programs from Hand-Drawn Images,"Cornell, MIT"
2018,Overcoming Language Priors in Visual Question Answering with Adversarial Regularization,Autonomous Vehicles Computer Vision Engineer at NVIDIA
2018,Transfer Learning from Speaker Verification to Multispeaker Text-To-Speech Synthesis,Google Brain
2018,Learning to Solve SMT Formulas,ETH Zurich
2018,Learning to Repair Software Vulnerabilities with Generative Adversarial Networks,MIT Lincoln Labs
2018,Algorithmic Linearly Constrained Gaussian Processes,Professor of math and data science
2018,ChannelNets: Compact and Efficient Convolutional Neural Networks via Channel-Wise Convolutions,"Assistant Professor, Department of Computer Science, Iowa State University"
2018,On Controllable Sparse Alternatives to Softmax,"Mila, Université de Montréal"
2018,Gaussian Process Conditional Density Estimation,University of Cambridge
2018,Deep Network for the Integrated 3D Sensing of Multiple People in Natural Images,Google
2018,Learning Attentional Communication for Multi-Agent Cooperation,"Ph.D. student, Peking University"
2018,Multi-domain Causal Structure Learning in Linear Systems,Johns Hopkins University
2018,Policy Optimization via Importance Sampling,"Postdoctoral Researcher, Politecnico di Milano"
2018,Task-Driven Convolutional Recurrent Models of the Visual System,"Neurosciences Ph.D. Candidate, Stanford University"
2018,Hunting for Discriminatory Proxies in Linear Regression Models,Carnegie Mellon University
2018,Entropy and mutual information in models of deep neural networks,"Postdoc, NYU Center for Data Science, Flatiron Institute CCM"
2018,A Simple Cache Model for Image Recognition,NYU
2018,Quadrature-based features for kernel approximation,Max Planck Institute for Intelligent Systems
2018,A Statistical Recurrent Model on the Manifold of Symmetric Positive Definite Matrices,Butlr
2018,Object-Oriented Dynamics Predictor,Tsinghua University
2018,To Trust Or Not To Trust A Classifier,"Research Scientist, Google Research"
2018,Deep Reinforcement Learning of Marked Temporal Point Processes,CTO/co-founder Reason.al
2018,Distributed Learning without Distress: Privacy-Preserving Empirical Risk Minimization,Research Assistant at University of Virginia
2018,Hybrid Knowledge Routed Modules for Large-scale Object Detection,Sun Yat-san University
2018,Supervising Unsupervised Learning,Massachusetts Institute of Technology (MIT)
2018,"Overlapping Clustering Models, and One (class) SVM to Bind Them All",The University of Texas at Austin
2018,Improving Online Algorithms via ML Predictions,Google
2018,Causal Inference via Kernel Deviance Measures,Research Scientist at DeepMind
2018,"Sequential Attend, Infer, Repeat: Generative Modelling of Moving Objects","Research Scientist, DeepMind"
2018,Learning with SGD and Random Features,"Postdoctoral Researcher, University of Genoa"
2018,Boolean Decision Rules via Column Generation,IBM Research
2018,Boosting Black Box Variational Inference,"Senior Applied Scientist, Amazon AWS"
2018,Variational Bayesian Monte Carlo,"Assistant Professor of Machine and Human Intelligence, University of Helsinki"
2018,Tangent: Automatic differentiation using source-code transformation for dynamically typed array programming,Google
2018,Learning Task Specifications from Demonstrations,"Computer Science PhD Student at University of California, Berkeley"
2018,"FishNet: A Versatile Backbone for Image, Region, and Pixel Level Prediction",University of Oxford
2018,Simple random search of static linear policies is competitive for reinforcement learning,Massachusetts Institute of Technology
2018,Automatic differentiation in ML: Where we are and where we should be going,Google
2018,Discretely Relaxing Continuous Variables for tractable Variational Inference,University of Toronto
2018,Learning and Testing Causal Models with Interventions,"Assistant Professor, Cornell University"
2018,Evolved Policy Gradients,Netflix Research
2018,Demystifying excessively volatile human learning: A Bayesian persistent prior and a neural approximation,"University of California, San Diego"
2018,Distributionally Robust Graphical Models,Carnegie Mellon University
2018,Iterative Value-Aware Model Learning,"Vector Institute, University of Toronto"
2018,Faster Neural Networks Straight from JPEG,Amazon Robotics
2018,Densely Connected Attention Propagation for Reading Comprehension,"Research Scientist, Google AI"
2018,Content preserving text generation with attribute controls,University of Michigan
2018,Policy-Conditioned Uncertainty Sets for Robust Markov Decision Processes,Inria Lille
2018,Deep Generative Models for Distribution-Preserving Lossy Compression,Apple Inc.
2018,"With Friends Like These, Who Needs Adversaries?","Postdoctoral Researcher, INRIA Paris Saclay"
2018,Learning to Teach with Dynamic Loss Functions,Microsoft Research
2018,Distributed Multitask Reinforcement Learning with Quadratic Convergence,Massachusetts Institute of Technology
2018,Low-shot Learning via Covariance-Preserving Adversarial Augmentation Networks,UC Berkeley
2018,Integrated accounts of behavioral and neuroimaging data using flexible recurrent neural network models,"Data61, CSIRO"
2018,"Cooperative Holistic Scene Understanding: Unifying 3D Object, Layout, and Camera Pose Estimation","University of California, Los Angeles"
2018,SLAYER: Spike Layer Error Reassignment in Time,"Intel Labs, USA"
2018,A Convex Duality Framework for GANs,"Assistant Professor, Chinese University of Hong Kong"
2018,Empirical Risk Minimization Under Fairness Constraints,Amazon
2018,End-to-End Differentiable Physics for Learning and Control,Carnegie Mellon University
2018,A Unified Feature Disentangler for Multi-Domain Image Translation and Manipulation,Massachusetts Institute of Technology
2018,Horizon-Independent Minimax Linear Regression,MIT
2018,Beauty-in-averageness and its contextual modulations: A Bayesian statistical account,"University of California, San Diego"
2018,The committee machine: Computational to statistical gaps in learning a two-layers neural network,Init ML - ClipDrop
2018,Adversarial vulnerability for any classifier,"Research Scientist, Google DeepMind"
2018,Adversarial Examples that Fool both Computer Vision and Time-Limited Humans,"Research Scientist, Google Research, Brain Team"
2018,Evolution-Guided Policy Gradient in Reinforcement Learning,Applied Scientist II at Microsoft
2018,Bayesian Distributed Stochastic Gradient Descent,"Graduate Student, University of Oxford"
2018,Faithful Inversion of Generative Models for Effective Amortized Inference,"Software Engineer (Infrastructure), Facebook"
2018,Stochastic Chebyshev Gradient Descent for Spectral Optimization,Yale University
2018,Model-based targeted dimensionality reduction for neuronal population data,"Assistant Professor, UCSD Neurobiology & Halıcıoğlu Data Science Institute"
2018,Online Robust Policy Learning in the Presence of Unknown Adversaries,University of Illinois Urbana Champaign
2018,Representer Point Selection for Explaining Deep Neural Networks,"PhD, Machine Learning Department, Carnegie Mellon University"
2018,Watch Your Step: Learning Node Embeddings via Graph Attention,"PhD Student, USC"
2018,Learning to Optimize Tensor Programs,Carnegie Mellon University
2018,Stochastic Composite Mirror Descent: Optimal Bounds with High Probabilities,University of Birmingham
2018,Rectangular Bounding Process,University of New South Wales
2018,Causal Discovery from Discrete Data using Hidden Compact Representation,"Professor of Computer Science, Guangdong University of Technology"
2018,Combinatorial Optimization with Graph Convolutional Networks and Guided Tree Search,"Nuro, Inc."
2018,Modeling Dynamic Missingness of Implicit Feedback for Recommendation,eBay Inc.
2018,The Sparse Manifold Transform,"Postdoc Researcher, Facebook AI Research (FAIR); Visiting Scholar, Berkeley AI Research …"
2018,Probabilistic Model-Agnostic Meta-Learning,"Stanford University, Google"
2018,Deep Neural Networks with Box Convolutions,Skolkovo Institute of Science and Technology
2018,Neighbourhood Consensus Networks,Facebook AI Research
2018,Adaptive Methods for Nonconvex Optimization,Google Research
2018,How Does Batch Normalization Help Optimization?,"Postdoc, Stanford University"
2018,Stacked Semantics-Guided Attention Model for Fine-Grained Zero-Shot Learning,浙江大学特聘副研究员
2018,MacNet: Transferring Knowledge from Machine Comprehension to Sequence-to-Sequence Models,Zhejiang University
2018,Multiplicative Weights Updates with Constant Step-Size in Graphical Constant-Sum Games,"Department of Computer Science, Royal Holloway University of London"
2018,Implicit Reparameterization Gradients,DeepMind
2018,MiME: Multilevel Medical Embedding of Electronic Health Records for Predictive Healthcare,KAIST
2018,Flexible and accurate inference and learning for deep generative models,DeepMind
2018,Constructing Deep Neural Networks by Bayesian Network Structure Learning,"Research Scientist, Intel Labs"
2018,"Training Deep Models Faster with Robust, Approximate Importance Sampling",Apple
2018,Learning Beam Search Policies via Imitation Learning,Carnegie Mellon University
2018,An Efficient Pruning Algorithm for Robust Isotonic Regression,The Voleon Group
2018,Bilinear Attention Networks,NAVER AI Lab
2018,Constructing Fast Network through Deconstruction of Convolution,mofl inc.
2018,Turbo Learning for CaptionBot and DrawingBot,"Microsoft Research, Redmond"
2018,Learning semantic similarity in a continuous space,Ecole Polytechnique
2018,See and Think: Disentangling Semantic Scene Completion,Tencent Technology (Shanghai)
2018,L4: Practical loss-based stepsize adaptation for deep learning,Max Planck Institute for Intelligent Systems
2018,Generalisation of structural knowledge in the hippocampal-entorhinal system,University of Oxford
2018,Data-dependent PAC-Bayes priors via differential privacy,Google Brain
2018,Sigsoftmax: Reanalysis of the Softmax Bottleneck,NTT
2018,DVAE#: Discrete Variational Autoencoders with Relaxed Boltzmann Priors,Senior Research Scientist at NVIDIA Research
2018,GumBolt: Extending Gumbel trick to Boltzmann priors,Borealis AI
2018,Adding One Neuron Can Eliminate All Bad Local Minima,University of Illinois at Urbana-Champaign
2018,Dialog-based Interactive Image Retrieval,Facebook
2018,Life-Long Disentangled Representation Learning with Cross-Domain Latent Homologies,"Applied Scientist, Amazon Web Services and Caltech"
2018,Computationally and statistically efficient learning of causal Bayes nets using path queries,Purdue University
2018,On the Global Convergence of Gradient Descent for Over-parameterized Models using Optimal Transport,EPFL
2018,Differentially Private Contextual Linear Bandits,"PhD Student, University of Alberta"
2018,Learning to Reason with Third Order Tensor Products,IDSIA
2018,Deep Structured Prediction with Nonlinear Output Transformations,University of Illinois at Urbana-Champaign
2018,Training Neural Networks Using Features Replay,"Research Scientist, Google"
2018,Clebsch–Gordan Nets: a Fully Fourier Space Spherical Convolutional Neural Network,"Associate Professor, The University of Chicago"
2018,Representation Learning for Treatment Effect Estimation from Observational Data,Alibaba Group
2018,DeepExposure: Learning to Expose Photos with Asynchronously Reinforced Adversarial Learning,
2018,Insights on representational similarity in neural networks with canonical correlation,"Research Scientist, Facebook AI Research"
2018,Efficient nonmyopic batch active search,Facebook
2018,Fast Similarity Search via Optimal Sparse Lifting,"The Chinese University of Hong Kong, Shenzhen"
2018,Evidential Deep Learning to Quantify Classification Uncertainty,"Department of Computer Science, University College London"
2018,A Game-Theoretic Approach to Recommendation Systems with Strategic Content Providers,"Post-Doctoral Fellow, Tel-Aviv University"
2018,Adaptive Path-Integral Autoencoders: Representation Learning and Planning for Dynamical Systems,"Learning & Intelligent Systems, TU Berlin, Max Planck Institute for Intelligent Systems"
2018,Towards Text Generation with Adversarially Learned Neural Outlines,"Mila, University of Montreal"
2018,Conditional Adversarial Domain Adaptation,"Associate Professor, Tsinghua University"
2018,Bayesian Nonparametric Spectral Estimation,Universidad de Chile
2018,A Simple Unified Framework for Detecting Out-of-Distribution Samples and Adversarial Attacks,"Postdoc, UC Berkeley"
2018,Differential Privacy for Growing Databases,Columbia University
2018,Learning Pipelines with Limited Data and Domain Knowledge: A Study in Parsing Physics Problems,"Assistant Professor, ETH Zurich"
2018,Using Trusted Data to Train Deep Networks on Labels Corrupted by Severe Noise,"PhD Student, UC Berkeley"
